Q Value,Bot1 Result,Bot1 Position,Bot2 Result,Bot2 Position,Bot3 Result,Bot3 Position,Bot4 Result,Bot4 Position,Button Position,Fire Position
0.3,Failure,"(31, 14)",Failure,"(31, 14)",Failure,"(31, 14)",Failure,"(31, 14)","(17, 2)","(20, 6)"
0.3,Success,"(22, 34)",Success,"(22, 34)",Success,"(22, 34)",Success,"(22, 34)","(24, 36)","(33, 34)"
0.3,Success,"(11, 3)",Success,"(11, 3)",Success,"(11, 3)",Success,"(11, 3)","(18, 29)","(38, 24)"
0.3,Failure,"(29, 31)",Failure,"(29, 31)",Failure,"(29, 31)",Failure,"(29, 31)","(13, 14)","(15, 18)"
0.3,Success,"(32, 21)",Success,"(32, 21)",Success,"(32, 21)",Success,"(32, 21)","(21, 6)","(5, 17)"
0.3,Success,"(17, 18)",Success,"(17, 18)",Success,"(17, 18)",Success,"(17, 18)","(24, 15)","(13, 6)"
0.3,Success,"(3, 14)",Success,"(3, 14)",Success,"(3, 14)",Success,"(3, 14)","(9, 18)","(15, 25)"
0.3,Failure,"(12, 24)",Failure,"(12, 24)",Failure,"(12, 24)",Failure,"(12, 24)","(29, 14)","(27, 19)"
0.3,Success,"(1, 22)",Success,"(1, 22)",Success,"(1, 22)",Success,"(1, 22)","(33, 20)","(5, 4)"
0.3,Failure,"(30, 21)",Failure,"(30, 21)",Failure,"(30, 21)",Failure,"(30, 21)","(17, 20)","(2, 9)"
0.3,Success,"(19, 36)",Success,"(19, 36)",Success,"(19, 36)",Success,"(19, 36)","(27, 27)","(16, 13)"
0.3,Success,"(1, 13)",Success,"(1, 13)",Success,"(1, 13)",Success,"(1, 13)","(12, 16)","(34, 37)"
0.3,Failure,"(34, 24)",Success,"(34, 24)",Failure,"(34, 24)",Success,"(34, 24)","(5, 25)","(24, 1)"
0.3,Success,"(22, 16)",Success,"(22, 16)",Success,"(22, 16)",Success,"(22, 16)","(28, 7)","(25, 19)"
0.3,Success,"(14, 6)",Success,"(14, 6)",Success,"(14, 6)",Success,"(14, 6)","(32, 36)","(22, 29)"
0.3,Success,"(18, 15)",Failure,"(18, 15)",Success,"(18, 15)",Failure,"(18, 15)","(19, 38)","(13, 38)"
0.3,Success,"(25, 29)",Success,"(25, 29)",Success,"(25, 29)",Success,"(25, 29)","(23, 26)","(8, 28)"
0.3,Failure,"(29, 9)",Failure,"(29, 9)",Failure,"(29, 9)",Failure,"(29, 9)","(13, 3)","(16, 36)"
0.3,Failure,"(19, 25)",Failure,"(19, 25)",Failure,"(19, 25)",Failure,"(19, 25)","(1, 24)","(3, 21)"
0.3,Success,"(16, 19)",Success,"(16, 19)",Success,"(16, 19)",Success,"(16, 19)","(15, 17)","(4, 16)"
0.4,Failure,"(36, 36)",Failure,"(36, 36)",Failure,"(36, 36)",Failure,"(36, 36)","(14, 33)","(28, 30)"
0.4,Failure,"(12, 32)",Failure,"(12, 32)",Failure,"(12, 32)",Failure,"(12, 32)","(38, 34)","(33, 29)"
0.4,Failure,"(38, 3)",Failure,"(38, 3)",Failure,"(38, 3)",Failure,"(38, 3)","(12, 12)","(24, 38)"
0.4,Success,"(27, 5)",Success,"(27, 5)",Success,"(27, 5)",Success,"(27, 5)","(21, 5)","(30, 31)"
0.4,Success,"(26, 36)",Success,"(26, 36)",Success,"(26, 36)",Success,"(26, 36)","(17, 9)","(33, 28)"
0.4,Success,"(24, 5)",Success,"(24, 5)",Success,"(24, 5)",Success,"(24, 5)","(30, 5)","(4, 11)"
0.4,Success,"(10, 19)",Success,"(10, 19)",Success,"(10, 19)",Success,"(10, 19)","(3, 6)","(35, 12)"
0.4,Success,"(11, 28)",Success,"(11, 28)",Success,"(11, 28)",Success,"(11, 28)","(9, 5)","(11, 37)"
0.4,Failure,"(28, 32)",Failure,"(28, 32)",Failure,"(28, 32)",Failure,"(28, 32)","(24, 22)","(25, 32)"
0.4,Failure,"(16, 31)",Failure,"(16, 31)",Failure,"(16, 31)",Failure,"(16, 31)","(5, 16)","(7, 22)"
0.4,Success,"(4, 10)",Success,"(4, 10)",Success,"(4, 10)",Success,"(4, 10)","(18, 9)","(29, 14)"
0.4,Success,"(5, 2)",Success,"(5, 2)",Success,"(5, 2)",Success,"(5, 2)","(11, 1)","(15, 28)"
0.4,Success,"(20, 28)",Success,"(20, 28)",Success,"(20, 28)",Success,"(20, 28)","(5, 19)","(14, 16)"
0.4,Failure,"(29, 17)",Success,"(29, 17)",Success,"(29, 17)",Failure,"(29, 17)","(20, 8)","(29, 5)"
0.4,Failure,"(15, 26)",Failure,"(15, 26)",Failure,"(15, 26)",Failure,"(15, 26)","(30, 22)","(32, 6)"
0.4,Success,"(33, 17)",Success,"(33, 17)",Success,"(33, 17)",Success,"(33, 17)","(37, 31)","(2, 4)"
0.4,Success,"(12, 11)",Success,"(12, 11)",Success,"(12, 11)",Success,"(12, 11)","(23, 8)","(3, 38)"
0.4,Failure,"(37, 30)",Success,"(37, 30)",Failure,"(37, 30)",Failure,"(37, 30)","(15, 22)","(31, 28)"
0.4,Success,"(28, 32)",Success,"(28, 32)",Success,"(28, 32)",Success,"(28, 32)","(28, 13)","(20, 33)"
0.4,Success,"(22, 4)",Success,"(22, 4)",Success,"(22, 4)",Success,"(22, 4)","(32, 4)","(37, 9)"
0.5,Failure,"(21, 36)",Failure,"(21, 36)",Success,"(21, 36)",Failure,"(21, 36)","(20, 15)","(10, 22)"
0.5,Success,"(10, 11)",Success,"(10, 11)",Success,"(10, 11)",Success,"(10, 11)","(23, 34)","(3, 1)"
0.5,Failure,"(21, 13)",Failure,"(21, 13)",Failure,"(21, 13)",Failure,"(21, 13)","(31, 30)","(36, 31)"
0.5,Failure,"(12, 7)",Failure,"(12, 7)",Failure,"(12, 7)",Failure,"(12, 7)","(37, 15)","(16, 24)"
0.5,Success,"(13, 9)",Success,"(13, 9)",Success,"(13, 9)",Success,"(13, 9)","(21, 37)","(30, 26)"
0.5,Failure,"(20, 15)",Failure,"(20, 15)",Failure,"(20, 15)",Failure,"(20, 15)","(14, 33)","(11, 38)"
0.5,Success,"(33, 33)",Success,"(33, 33)",Success,"(33, 33)",Success,"(33, 33)","(35, 31)","(24, 12)"
0.5,Failure,"(27, 35)",Failure,"(27, 35)",Failure,"(27, 35)",Failure,"(27, 35)","(13, 9)","(20, 3)"
0.5,Success,"(7, 24)",Success,"(7, 24)",Success,"(7, 24)",Success,"(7, 24)","(16, 33)","(31, 2)"
0.5,Success,"(37, 13)",Success,"(37, 13)",Success,"(37, 13)",Success,"(37, 13)","(15, 37)","(7, 2)"
0.5,Success,"(2, 25)",Success,"(2, 25)",Success,"(2, 25)",Success,"(2, 25)","(38, 35)","(23, 3)"
0.5,Success,"(38, 4)",Success,"(38, 4)",Success,"(38, 4)",Success,"(38, 4)","(30, 4)","(14, 2)"
0.5,Failure,"(5, 23)",Failure,"(5, 23)",Failure,"(5, 23)",Failure,"(5, 23)","(14, 13)","(35, 21)"
0.5,Failure,"(29, 24)",Success,"(29, 24)",Failure,"(29, 24)",Success,"(29, 24)","(10, 15)","(29, 24)"
0.5,Failure,"(14, 36)",Failure,"(14, 36)",Failure,"(14, 36)",Failure,"(14, 36)","(26, 8)","(8, 31)"
0.5,Success,"(35, 35)",Success,"(35, 35)",Success,"(35, 35)",Success,"(35, 35)","(28, 34)","(30, 17)"
0.5,Success,"(36, 14)",Success,"(36, 14)",Success,"(36, 14)",Success,"(36, 14)","(8, 30)","(38, 15)"
0.5,Failure,"(37, 8)",Failure,"(37, 8)",Failure,"(37, 8)",Failure,"(37, 8)","(1, 16)","(10, 33)"
0.5,Success,"(18, 4)",Success,"(18, 4)",Success,"(18, 4)",Success,"(18, 4)","(30, 5)","(1, 6)"
0.5,Failure,"(7, 9)",Failure,"(7, 9)",Failure,"(7, 9)",Failure,"(7, 9)","(14, 33)","(17, 26)"
