Q Value,Bot1 Result,Bot1 Position,Bot2 Result,Bot2 Position,Bot3 Result,Bot3 Position,Bot4 Result,Bot4 Position,Button Position,Fire Position
0.2,Success,"(4, 8)",Success,"(4, 8)",Success,"(4, 8)",Success,"(4, 8)","(14, 8)","(15, 36)"
0.2,Failure,"(4, 1)",Failure,"(4, 1)",Failure,"(4, 1)",Failure,"(4, 1)","(19, 4)","(7, 22)"
0.2,Success,"(12, 15)",Success,"(12, 15)",Success,"(12, 15)",Success,"(12, 15)","(12, 29)","(26, 12)"
0.2,Success,"(24, 23)",Success,"(24, 23)",Success,"(24, 23)",Success,"(24, 23)","(38, 7)","(36, 13)"
0.2,Success,"(38, 23)",Success,"(38, 23)",Success,"(38, 23)",Success,"(38, 23)","(21, 35)","(22, 11)"
0.2,Failure,"(21, 20)",Success,"(21, 20)",Failure,"(21, 20)",Success,"(21, 20)","(33, 27)","(21, 20)"
0.2,Failure,"(36, 8)",Failure,"(36, 8)",Failure,"(36, 8)",Failure,"(36, 8)","(15, 16)","(18, 21)"
0.2,Success,"(14, 4)",Success,"(14, 4)",Success,"(14, 4)",Success,"(14, 4)","(21, 32)","(36, 25)"
0.2,Success,"(11, 14)",Success,"(11, 14)",Success,"(11, 14)",Success,"(11, 14)","(6, 26)","(2, 4)"
0.2,Failure,"(11, 34)",Failure,"(11, 34)",Failure,"(11, 34)",Failure,"(11, 34)","(35, 12)","(14, 11)"
0.2,Success,"(13, 26)",Success,"(13, 26)",Success,"(13, 26)",Success,"(13, 26)","(16, 27)","(34, 5)"
0.2,Success,"(7, 31)",Success,"(7, 31)",Success,"(7, 31)",Success,"(7, 31)","(26, 11)","(36, 35)"
0.2,Success,"(24, 38)",Success,"(24, 38)",Success,"(24, 38)",Success,"(24, 38)","(15, 21)","(38, 15)"
0.2,Success,"(17, 24)",Success,"(17, 24)",Success,"(17, 24)",Success,"(17, 24)","(15, 22)","(26, 9)"
0.2,Success,"(32, 15)",Success,"(32, 15)",Success,"(32, 15)",Success,"(32, 15)","(27, 31)","(8, 31)"
0.2,Success,"(36, 10)",Success,"(36, 10)",Success,"(36, 10)",Success,"(36, 10)","(18, 2)","(9, 27)"
0.2,Success,"(13, 3)",Success,"(13, 3)",Success,"(13, 3)",Success,"(13, 3)","(36, 33)","(37, 5)"
0.2,Failure,"(38, 1)",Failure,"(38, 1)",Failure,"(38, 1)",Failure,"(38, 1)","(37, 38)","(30, 12)"
0.2,Success,"(1, 14)",Success,"(1, 14)",Success,"(1, 14)",Success,"(1, 14)","(7, 25)","(27, 37)"
0.3,Success,"(8, 37)",Success,"(8, 37)",Success,"(8, 37)",Success,"(8, 37)","(36, 11)","(17, 33)"
0.3,Failure,"(9, 2)",Failure,"(9, 2)",Failure,"(9, 2)",Failure,"(9, 2)","(25, 16)","(21, 26)"
0.3,Failure,"(36, 34)",Failure,"(36, 34)",Failure,"(36, 34)",Failure,"(36, 34)","(38, 13)","(33, 16)"
0.3,Success,"(21, 15)",Success,"(21, 15)",Success,"(21, 15)",Success,"(21, 15)","(10, 24)","(24, 32)"
0.3,Success,"(20, 24)",Success,"(20, 24)",Success,"(20, 24)",Success,"(20, 24)","(25, 26)","(1, 38)"
0.3,Success,"(19, 34)",Success,"(19, 34)",Success,"(19, 34)",Success,"(19, 34)","(20, 5)","(5, 15)"
0.3,Success,"(11, 37)",Success,"(11, 37)",Success,"(11, 37)",Success,"(11, 37)","(23, 26)","(21, 12)"
0.3,Success,"(8, 31)",Success,"(8, 31)",Success,"(8, 31)",Success,"(8, 31)","(10, 28)","(28, 18)"
0.3,Success,"(4, 6)",Success,"(4, 6)",Success,"(4, 6)",Success,"(4, 6)","(3, 31)","(18, 25)"
0.3,Success,"(33, 24)",Success,"(33, 24)",Success,"(33, 24)",Success,"(33, 24)","(6, 33)","(11, 10)"
0.3,Success,"(16, 38)",Success,"(16, 38)",Success,"(16, 38)",Success,"(16, 38)","(12, 11)","(38, 18)"
0.3,Success,"(37, 15)",Success,"(37, 15)",Success,"(37, 15)",Success,"(37, 15)","(34, 33)","(3, 8)"
0.3,Failure,"(33, 7)",Failure,"(33, 7)",Failure,"(33, 7)",Failure,"(33, 7)","(1, 28)","(27, 14)"
0.3,Success,"(37, 20)",Success,"(37, 20)",Success,"(37, 20)",Success,"(37, 20)","(30, 4)","(1, 28)"
0.3,Success,"(12, 4)",Success,"(12, 4)",Success,"(12, 4)",Success,"(12, 4)","(25, 4)","(29, 35)"
0.3,Success,"(29, 15)",Success,"(29, 15)",Success,"(29, 15)",Success,"(29, 15)","(34, 34)","(27, 1)"
0.3,Success,"(24, 27)",Success,"(24, 27)",Success,"(24, 27)",Success,"(24, 27)","(4, 36)","(11, 8)"
0.3,Success,"(34, 21)",Success,"(34, 21)",Success,"(34, 21)",Success,"(34, 21)","(1, 1)","(26, 3)"
0.3,Success,"(20, 34)",Success,"(20, 34)",Success,"(20, 34)",Success,"(20, 34)","(4, 23)","(30, 19)"
0.3,Success,"(20, 28)",Success,"(20, 28)",Success,"(20, 28)",Success,"(20, 28)","(27, 16)","(37, 16)"
0.4,Failure,"(17, 24)",Success,"(17, 24)",Failure,"(17, 24)",Failure,"(17, 24)","(36, 33)","(17, 24)"
0.4,Success,"(13, 26)",Success,"(13, 26)",Success,"(13, 26)",Success,"(13, 26)","(17, 2)","(34, 25)"
0.4,Failure,"(6, 38)",Failure,"(6, 38)",Success,"(6, 38)",Failure,"(6, 38)","(28, 29)","(32, 13)"
0.4,Success,"(16, 11)",Success,"(16, 11)",Success,"(16, 11)",Success,"(16, 11)","(38, 30)","(17, 16)"
0.4,Success,"(8, 16)",Success,"(8, 16)",Success,"(8, 16)",Success,"(8, 16)","(26, 8)","(11, 3)"
0.4,Success,"(3, 35)",Success,"(3, 35)",Success,"(3, 35)",Success,"(3, 35)","(15, 4)","(3, 12)"
0.4,Success,"(3, 30)",Success,"(3, 30)",Success,"(3, 30)",Success,"(3, 30)","(4, 23)","(1, 38)"
0.4,Failure,"(25, 36)",Failure,"(25, 36)",Failure,"(25, 36)",Failure,"(25, 36)","(35, 2)","(12, 7)"
0.4,Success,"(14, 10)",Success,"(14, 10)",Failure,"(14, 10)",Success,"(14, 10)","(10, 33)","(3, 34)"
0.4,Success,"(25, 9)",Success,"(25, 9)",Success,"(25, 9)",Success,"(25, 9)","(36, 14)","(25, 37)"
0.4,Success,"(17, 19)",Success,"(17, 19)",Success,"(17, 19)",Success,"(17, 19)","(30, 36)","(28, 2)"
0.4,Failure,"(34, 38)",Success,"(34, 38)",Failure,"(34, 38)",Failure,"(34, 38)","(2, 21)","(9, 6)"
0.4,Success,"(21, 1)",Success,"(21, 1)",Success,"(21, 1)",Success,"(21, 1)","(37, 13)","(3, 32)"
0.4,Success,"(3, 38)",Success,"(3, 38)",Success,"(3, 38)",Success,"(3, 38)","(10, 22)","(32, 36)"
0.4,Success,"(6, 1)",Failure,"(6, 1)",Failure,"(6, 1)",Success,"(6, 1)","(33, 1)","(2, 2)"
0.4,Failure,"(16, 36)",Failure,"(16, 36)",Failure,"(16, 36)",Failure,"(16, 36)","(14, 11)","(31, 31)"
0.4,Failure,"(37, 26)",Failure,"(37, 26)",Failure,"(37, 26)",Failure,"(37, 26)","(20, 19)","(36, 25)"
0.4,Success,"(38, 36)",Failure,"(38, 36)",Failure,"(38, 36)",Failure,"(38, 36)","(1, 5)","(37, 15)"
0.4,Success,"(16, 37)",Success,"(16, 37)",Success,"(16, 37)",Success,"(16, 37)","(8, 14)","(5, 3)"
0.4,Failure,"(4, 2)",Success,"(4, 2)",Success,"(4, 2)",Failure,"(4, 2)","(31, 38)","(28, 26)"
0.5,Success,"(15, 8)",Success,"(15, 8)",Success,"(15, 8)",Success,"(15, 8)","(37, 34)","(12, 5)"
0.5,Success,"(11, 18)",Success,"(11, 18)",Success,"(11, 18)",Success,"(11, 18)","(4, 2)","(9, 2)"
0.5,Failure,"(19, 33)",Failure,"(19, 33)",Failure,"(19, 33)",Failure,"(19, 33)","(33, 5)","(32, 20)"
0.5,Success,"(10, 1)",Success,"(10, 1)",Success,"(10, 1)",Failure,"(10, 1)","(3, 31)","(4, 8)"
0.5,Success,"(19, 14)",Success,"(19, 14)",Success,"(19, 14)",Success,"(19, 14)","(8, 15)","(37, 13)"
0.5,Success,"(17, 9)",Success,"(17, 9)",Success,"(17, 9)",Success,"(17, 9)","(7, 26)","(31, 28)"
0.5,Failure,"(3, 16)",Failure,"(3, 16)",Failure,"(3, 16)",Failure,"(3, 16)","(7, 32)","(4, 34)"
0.5,Success,"(23, 2)",Success,"(23, 2)",Success,"(23, 2)",Success,"(23, 2)","(29, 22)","(8, 2)"
0.5,Success,"(24, 26)",Success,"(24, 26)",Success,"(24, 26)",Success,"(24, 26)","(29, 25)","(4, 5)"
0.5,Success,"(28, 19)",Success,"(28, 19)",Success,"(28, 19)",Success,"(28, 19)","(12, 1)","(36, 12)"
0.5,Failure,"(28, 12)",Failure,"(28, 12)",Failure,"(28, 12)",Failure,"(28, 12)","(33, 34)","(35, 31)"
0.5,Failure,"(33, 10)",Failure,"(33, 10)",Failure,"(33, 10)",Failure,"(33, 10)","(4, 15)","(16, 18)"
0.5,Success,"(17, 8)",Success,"(17, 8)",Success,"(17, 8)",Success,"(17, 8)","(9, 14)","(3, 37)"
0.5,Success,"(26, 12)",Success,"(26, 12)",Success,"(26, 12)",Success,"(26, 12)","(3, 13)","(36, 1)"
0.1,Success,"(31, 27)",Success,"(31, 27)",Success,"(31, 27)",Success,"(31, 27)","(29, 6)","(9, 1)"
0.1,Success,"(32, 7)",Success,"(32, 7)",Success,"(32, 7)",Success,"(32, 7)","(14, 20)","(8, 21)"
0.1,Success,"(28, 32)",Success,"(28, 32)",Failure,"(28, 32)",Success,"(28, 32)","(35, 8)","(27, 30)"
0.1,Success,"(18, 18)",Success,"(18, 18)",Success,"(18, 18)",Success,"(18, 18)","(20, 18)","(10, 37)"
0.1,Failure,"(10, 26)",Failure,"(10, 26)",Failure,"(10, 26)",Failure,"(10, 26)","(27, 36)","(33, 10)"
0.1,Success,"(33, 22)",Success,"(33, 22)",Success,"(33, 22)",Success,"(33, 22)","(12, 9)","(19, 5)"
0.1,Success,"(8, 22)",Success,"(8, 22)",Success,"(8, 22)",Success,"(8, 22)","(7, 2)","(24, 31)"
0.1,Success,"(7, 5)",Success,"(7, 5)",Success,"(7, 5)",Success,"(7, 5)","(27, 23)","(23, 31)"
